0.951  996.073279  0.01
0.952  996.071524  0.01
0.953  996.069771  0.01
0.954  996.068018  0.01
0.955  996.066265  0.01
0.956  996.06451  0.01
0.957  996.062755  0.01
0.958  996.060999  0.01
0.959  995.809508  0.01
0.96  995.258337  0.01
0.961  994.561018  0.01
0.962  993.82848  0.01
0.963  993.226385  0.01
0.964  992.97545  0.01
0.965  992.798888  0.01
0.966  992.718321  0.01
0.967  992.657158  0.01
0.968  992.573779  0.01
0.969  992.448904  0.01
0.97  992.287786  0.01
0.971  992.12252  0.01
0.972  992.026816  0.01
0.973  991.955167  0.01
0.974  991.889228  0.01
0.975  991.828243  0.01
0.976  991.771807  0.01
0.977  991.719461  0.01
0.978  991.67085  0.01
0.979  991.625718  0.01
0.98  991.583734  0.01
0.981  991.544773  0.01
0.982  991.508522  0.01
0.983  991.47494  0.01
0.984  991.443749  0.01
0.985  991.414929  0.01
0.986  991.388268  0.01
0.987  991.363732  0.01
0.988  991.341189  0.01
0.989  991.320572  0.01
0.99  991.301819  0.01
0.991  991.284841  0.01
0.992  991.269622  0.01
0.993  991.256063  0.01
0.994  991.244181  0.01
0.995  991.233889  0.01
0.996  991.225191  0.01
0.997  991.218044  0.01
0.998  991.212438  0.01
0.999  991.208368  0.01
1.0  991.205817  0.01
1.001  991.204784  0.01
1.002  991.20527  0.01
1.003  991.207288  0.01
1.004  991.210846  0.01
1.005  991.215952  0.01
1.006  991.222657  0.01
1.007  991.230951  0.01
1.008  991.24092  0.01
1.009  991.25255  0.01
1.01  991.265939  0.01
1.011  991.281101  0.01
1.012  991.298127  0.01
1.013  991.317077  0.01
1.014  991.33802  0.01
1.015  991.361086  0.01
1.016  991.386311  0.01
1.017  991.413906  0.01
1.018  991.443891  0.01
1.019  991.476544  0.01
1.02  991.511906  0.01
1.021  991.550286  0.01
1.022  991.59181  0.01
1.023  991.636812  0.01
1.024  991.685549  0.01
1.025  991.738377  0.01
1.026  991.795754  0.01
1.027  991.948823  0.01
1.028  992.248598  0.01
1.029  992.57687  0.01
1.03  992.888166  0.01
1.031  993.003801  0.01
1.032  992.911005  0.01
1.033  992.75871  0.01
1.034  992.660211  0.01
1.035  992.667677  0.01
1.036  992.845923  0.01
1.037  993.093262  0.01
1.038  993.691766  0.01
1.039  994.420714  0.01
1.04  995.114444  0.01
1.041  995.662026  0.01
1.042  995.909927  0.01
1.043  995.908093  0.01
1.044  995.906258  0.01
1.045  995.904423  0.01
1.046  995.902586  0.01
1.047  995.900748  0.01
1.048  995.898908  0.01
1.049  995.897062  0.01
1.05  995.895213  0.01
2.45  992.642114  0.01
2.451  992.639876  0.01
2.452  992.637639  0.01
2.453  992.635403  0.01
2.454  992.633169  0.01
2.455  992.630936  0.01
2.456  992.628705  0.01
2.457  992.626476  0.01
2.458  992.624248  0.01
2.459  992.372289  0.01
2.46  991.820652  0.01
2.461  991.12287  0.01
2.462  990.389873  0.01
2.463  989.787322  0.01
2.464  989.535941  0.01
2.465  989.349938  0.01
2.466  989.196146  0.01
2.467  989.063314  0.01
2.468  988.946587  0.01
2.469  988.842055  0.01
2.47  988.74791  0.01
2.471  988.662119  0.01
2.472  988.58379  0.01
2.473  988.511713  0.01
2.474  988.445347  0.01
2.475  988.38394  0.01
2.476  988.327086  0.01
2.477  988.274327  0.01
2.478  988.225308  0.01
2.479  988.179772  0.01
2.48  988.137384  0.01
2.481  988.098024  0.01
2.482  988.061376  0.01
2.483  988.0274  0.01
2.484  987.995817  0.01
2.485  987.966609  0.01
2.486  987.939563  0.01
2.487  987.914644  0.01
2.488  987.891721  0.01
2.489  987.870728  0.01
2.49  987.871733  0.01
2.491  987.944728  0.01
2.492  988.023924  0.01
2.493  988.079207  0.01
2.494  988.094365  0.01
2.495  988.063509  0.01
2.496  987.991119  0.01
2.497  987.891635  0.01
2.498  987.791782  0.01
2.499  987.754999  0.01
2.5  987.752117  0.01
2.501  987.750755  0.01
2.502  987.750916  0.01
2.503  987.752614  0.01
2.504  987.755856  0.01
2.505  987.760654  0.01
2.506  987.767053  0.01
2.507  987.775044  0.01
2.508  987.784713  0.01
2.509  987.796046  0.01
2.51  987.809142  0.01
2.511  987.824014  0.01
2.512  987.840753  0.01
2.513  987.859419  0.01
2.514  987.880078  0.01
2.515  987.902862  0.01
2.516  987.927807  0.01
2.517  987.955125  0.01
2.518  987.984835  0.01
2.519  988.017217  0.01
2.52  988.05231  0.01
2.521  988.090431  0.01
2.522  988.131701  0.01
2.523  988.176453  0.01
2.524  988.224946  0.01
2.525  988.277532  0.01
2.526  988.334672  0.01
2.527  988.396771  0.01
2.528  988.464581  0.01
2.529  988.538643  0.01
2.53  988.620168  0.01
2.531  988.710047  0.01
2.532  988.810314  0.01
2.533  988.922778  0.01
2.534  989.051349  0.01
2.535  989.200884  0.01
2.536  989.38263  0.01
2.537  989.629755  0.01
2.538  990.228049  0.01
2.539  990.956789  0.01
2.54  991.650315  0.01
2.541  992.197696  0.01
2.542  992.445401  0.01
2.543  992.443374  0.01
2.544  992.44135  0.01
2.545  992.43933  0.01
2.546  992.437312  0.01
2.547  992.435297  0.01
2.548  992.433285  0.01
2.549  992.431276  0.01
2.55  992.42927  0.01
3.95  992.516096  0.01
3.951  992.518237  0.01
3.952  992.520379  0.01
3.953  992.522523  0.01
3.954  992.524669  0.01
3.955  992.526815  0.01
3.956  992.528962  0.01
3.957  992.53111  0.01
3.958  992.533261  0.01
3.959  992.28568  0.01
3.96  991.738422  0.01
3.961  991.045023  0.01
3.962  990.316412  0.01
3.963  989.718249  0.01
3.964  989.471255  0.01
3.965  989.289641  0.01
3.966  989.14024  0.01
3.967  989.011802  0.01
3.968  988.899472  0.01
3.969  988.799339  0.01
3.97  988.709594  0.01
3.971  988.628204  0.01
3.972  988.554276  0.01
3.973  988.4866  0.01
3.974  988.424636  0.01
3.975  988.36763  0.01
3.976  988.315178  0.01
3.977  988.266819  0.01
3.978  988.222199  0.01
3.979  988.181058  0.01
3.98  988.143068  0.01
3.981  988.108103  0.01
3.982  988.075851  0.01
3.983  988.04627  0.01
3.984  988.019082  0.01
3.985  987.994268  0.01
3.986  987.971614  0.01
